month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,O3_target
10.0,3.0,4.0,13.83,58.25,25.94,14.92,-2.09,1.02,1.86,37.4
10.0,3.0,5.0,17.61,71.23,26.44,15.26,-1.93,0.88,0.91,57.25
10.0,3.0,12.0,46.28,33.24,26.94,10.42,-2.15,1.0,3.61,70.1
10.0,3.0,13.0,57.61,29.37,25.64,9.93,-1.66,1.42,2.91,52.6
10.0,3.0,14.0,68.94,25.5,26.79,9.43,-1.18,1.84,2.21,47.58
10.0,3.0,15.0,80.27,21.63,26.73,8.94,-0.69,2.25,1.52,45.05
10.0,3.0,16.0,60.18,39.75,27.25,8.73,-0.2,1.93,1.66,44.3
10.0,3.0,17.0,40.09,57.87,26.43,8.52,0.28,1.61,1.8,21.05
10.0,3.0,18.0,20.0,75.99,26.43,8.31,0.77,1.28,1.94,16.98
10.0,3.0,19.0,14.12,86.91,25.57,9.14,0.77,0.81,1.99,17.73
10.0,3.0,20.0,8.23,97.84,26.06,9.97,0.78,0.35,2.03,21.8
10.0,3.0,21.0,2.35,108.77,25.05,10.81,0.79,-0.12,2.08,24.7
10.0,3.0,22.0,19.04,79.49,25.36,12.58,-0.07,0.04,1.76,20.05
10.0,3.0,23.0,35.74,50.21,25.15,14.35,-0.93,0.2,1.45,15.68
1.0,5.0,0.0,2.43,82.5,18.32,21.6,-2.46,0.81,-0.33,5.82
1.0,5.0,1.0,1.72,93.93,15.22,22.14,-1.8,0.79,-0.76,5.53
1.0,5.0,2.0,1.01,105.36,16.2,22.67,-1.13,0.77,-1.19,5.53
1.0,5.0,3.0,0.3,116.79,16.01,23.2,-0.47,0.75,-1.63,4.92
1.0,5.0,4.0,6.26,105.95,16.52,22.79,-0.89,0.78,-1.33,4.75
1.0,5.0,5.0,12.21,95.11,18.05,22.37,-1.31,0.81,-1.03,5.12
1.0,5.0,6.0,18.17,84.27,18.27,21.96,-1.73,0.85,-0.73,4.9
1.0,5.0,7.0,12.24,82.46,16.92,21.96,-1.71,0.9,-1.1,5.08
1.0,5.0,8.0,6.31,80.65,15.72,21.97,-1.69,0.95,-1.47,4.75
1.0,5.0,9.0,0.38,78.84,17.86,21.97,-1.67,1.0,-1.84,4.7
1.0,5.0,10.0,1.7,83.83,17.99,22.03,-0.78,0.87,-1.3,4.68
1.0,5.0,11.0,3.03,88.81,18.23,22.09,0.11,0.74,-0.77,4.53
1.0,5.0,12.0,4.35,93.79,17.29,22.14,1.01,0.6,-0.23,4.62
1.0,5.0,13.0,5.44,95.61,19.03,21.98,-0.2,0.72,-0.29,4.7
1.0,5.0,14.0,6.53,97.44,18.53,21.83,-1.41,0.83,-0.36,5.15
1.0,5.0,15.0,7.62,99.27,19.51,21.67,-2.61,0.94,-0.42,4.78
1.0,5.0,16.0,13.34,83.17,18.36,21.35,-2.9,0.76,-0.99,4.55
1.0,5.0,17.0,19.06,67.08,18.13,21.04,-3.19,0.58,-1.57,5.0
1.0,5.0,18.0,24.78,50.98,18.05,20.72,-3.47,0.4,-2.15,5.12
1.0,5.0,19.0,22.13,56.0,16.92,21.02,-3.22,0.33,-1.88,5.03
1.0,5.0,20.0,19.47,61.01,16.0,21.31,-2.97,0.25,-1.61,5.0
1.0,5.0,21.0,16.82,66.02,14.96,21.6,-2.72,0.18,-1.34,5.6
1.0,5.0,22.0,19.46,65.01,14.47,21.53,-2.82,0.35,-1.44,5.12
1.0,5.0,23.0,22.11,64.0,17.06,21.47,-2.93,0.51,-1.55,5.05
4.0,7.0,0.0,25.21,107.34,12.1,20.58,-2.84,2.22,1.34,19.07
4.0,7.0,1.0,44.75,85.6,11.82,20.89,-1.29,2.29,1.49,15.9
4.0,7.0,2.0,64.29,63.87,11.91,21.19,0.27,2.35,1.63,18.45
4.0,7.0,3.0,83.83,42.14,10.23,21.5,1.83,2.41,1.78,21.93
4.0,7.0,4.0,87.15,37.44,11.42,21.26,1.85,1.56,1.16,27.72
4.0,7.0,5.0,90.48,32.75,11.57,21.02,1.88,0.71,0.53,31.02
4.0,7.0,6.0,93.8,28.05,10.95,20.78,1.9,-0.14,-0.1,38.1
4.0,7.0,7.0,89.06,28.43,10.48,20.11,1.16,0.38,0.36,44.23
4.0,7.0,8.0,84.31,28.82,9.23,19.44,0.43,0.9,0.82,41.65
4.0,7.0,9.0,79.56,29.2,10.27,18.77,-0.31,1.42,1.27,44.83
4.0,7.0,10.0,83.07,30.69,8.35,18.9,-0.63,1.25,1.22,41.98
4.0,7.0,11.0,86.58,32.19,8.45,19.03,-0.96,1.08,1.17,41.83
4.0,7.0,12.0,90.09,33.69,9.49,19.15,-1.28,0.91,1.11,44.0
4.0,7.0,13.0,82.71,33.29,10.39,19.36,-3.11,0.94,1.16,39.65
4.0,7.0,14.0,75.33,32.9,12.71,19.56,-4.94,0.97,1.21,35.5
4.0,7.0,16.0,52.66,38.64,11.11,20.2,-5.62,2.2,1.31,32.38
4.0,7.0,20.0,33.19,70.09,7.3,21.84,-0.32,3.36,0.86,17.4
4.0,7.0,21.0,38.75,79.69,6.95,22.21,1.18,2.73,0.58,20.33
4.0,7.0,22.0,38.68,80.88,5.7,21.56,1.44,1.78,0.94,20.07
4.0,7.0,23.0,38.61,82.06,3.78,20.92,1.71,0.83,1.31,25.93
11.0,2.0,0.0,5.73,118.57,25.84,9.39,-0.23,-2.44,2.36,7.4
11.0,2.0,1.0,16.35,105.62,27.49,8.36,0.6,-1.44,2.26,4.25
11.0,2.0,2.0,26.96,92.67,27.7,7.33,1.42,-0.43,2.17,3.25
11.0,2.0,3.0,37.57,79.72,29.02,6.3,2.25,0.57,2.07,3.2
11.0,2.0,4.0,38.59,76.06,26.37,6.03,2.41,0.7,1.88,4.3
11.0,2.0,5.0,39.61,72.4,28.55,5.76,2.57,0.83,1.69,8.1
11.0,2.0,6.0,40.63,68.74,27.09,5.49,2.73,0.96,1.49,14.85
11.0,2.0,7.0,49.03,60.55,26.33,5.6,2.39,0.14,1.46,18.88
11.0,2.0,8.0,57.43,52.37,27.8,5.72,2.05,-0.67,1.42,19.75
11.0,2.0,9.0,65.83,44.18,29.35,5.84,1.7,-1.49,1.39,23.43
11.0,2.0,10.0,52.95,54.27,29.54,6.21,0.64,-1.63,1.4,22.3
11.0,2.0,11.0,40.06,64.36,27.68,6.59,-0.43,-1.77,1.4,18.55
11.0,2.0,12.0,27.18,74.45,28.84,6.96,-1.49,-1.91,1.41,10.68
11.0,2.0,13.0,26.66,90.06,27.46,7.27,-0.49,-0.7,1.19,4.88
11.0,2.0,14.0,26.14,105.68,26.95,7.58,0.5,0.5,0.98,2.83
11.0,2.0,15.0,25.62,121.29,28.45,7.88,1.5,1.71,0.76,2.97
11.0,2.0,16.0,33.16,104.98,28.63,7.4,1.6,0.24,0.8,2.45
11.0,2.0,17.0,40.7,88.68,27.7,6.91,1.7,-1.23,0.85,1.85
11.0,2.0,18.0,48.25,72.37,27.94,6.43,1.8,-2.69,0.9,2.47
11.0,2.0,19.0,38.37,81.92,28.29,6.63,1.93,-3.56,1.13,3.1
11.0,2.0,22.0,20.47,103.49,28.34,7.87,2.24,-4.07,1.26,3.97
11.0,2.0,23.0,22.32,105.94,29.13,8.7,2.28,-2.85,0.93,3.92
6.0,27.0,0.0,113.18,38.7,24.29,12.17,0.22,1.75,-0.28,7.95
6.0,27.0,1.0,116.93,41.12,24.33,12.64,0.77,1.29,-0.59,9.45
6.0,27.0,2.0,120.69,43.54,25.27,13.12,1.33,0.82,-0.91,7.05
6.0,27.0,3.0,124.45,45.96,23.17,13.6,1.88,0.36,-1.23,11.05
6.0,27.0,4.0,146.03,42.73,23.23,12.66,2.46,0.9,-0.88,17.1
6.0,27.0,5.0,167.61,39.49,24.23,11.72,3.03,1.43,-0.53,23.1
6.0,27.0,6.0,189.19,36.26,25.99,10.78,3.61,1.97,-0.18,34.5
6.0,27.0,7.0,177.65,36.64,27.49,10.68,3.38,1.4,-0.37,44.7
6.0,27.0,8.0,166.12,37.02,29.88,10.59,3.16,0.82,-0.56,45.88
6.0,27.0,9.0,154.59,37.39,26.43,10.49,2.94,0.25,-0.75,46.33
6.0,27.0,10.0,136.6,36.44,24.8,10.23,3.16,-0.24,-0.67,45.2
6.0,27.0,11.0,118.6,35.48,23.1,9.98,3.38,-0.72,-0.59,47.7
6.0,27.0,12.0,100.61,34.53,23.32,9.72,3.6,-1.21,-0.51,47.08
6.0,27.0,13.0,105.69,44.75,26.26,9.28,3.16,-1.36,-0.49,38.02
6.0,27.0,14.0,110.76,54.98,29.03,8.84,2.72,-1.51,-0.47,32.52
6.0,27.0,15.0,115.84,65.21,29.48,8.4,2.28,-1.67,-0.45,23.85
6.0,27.0,16.0,121.93,57.65,28.28,7.97,2.4,-1.72,-0.89,21.52
6.0,27.0,17.0,128.02,50.09,25.87,7.53,2.51,-1.76,-1.33,15.58
6.0,27.0,18.0,134.11,42.53,26.84,7.1,2.63,-1.81,-1.76,13.35
6.0,27.0,19.0,133.59,38.05,26.86,6.55,2.62,-1.89,-1.24,10.93
6.0,27.0,20.0,133.06,33.57,27.94,5.99,2.61,-1.97,-0.71,5.8
6.0,27.0,21.0,132.53,29.09,30.36,5.44,2.6,-2.04,-0.19,7.37
6.0,27.0,22.0,137.03,28.66,30.48,5.23,2.59,-2.44,0.21,10.62
6.0,27.0,23.0,141.54,28.22,31.12,5.03,2.58,-2.84,0.62,9.68
3.0,14.0,0.0,72.68,79.47,35.22,6.67,1.75,-1.0,0.85,3.25
3.0,14.0,1.0,65.96,83.37,33.57,6.52,1.82,-1.06,0.98,3.85
3.0,14.0,2.0,59.25,87.26,30.35,6.36,1.89,-1.13,1.11,3.52
3.0,14.0,3.0,52.54,91.15,33.35,6.21,1.96,-1.19,1.23,5.22
3.0,14.0,4.0,57.95,121.58,35.26,6.18,1.36,-1.43,1.34,15.62
3.0,14.0,5.0,63.36,152.0,37.36,6.16,0.76,-1.68,1.45,38.75
3.0,14.0,12.0,53.4,109.71,37.13,6.35,1.09,-1.08,1.08,75.4
3.0,14.0,13.0,59.6,112.37,36.62,6.77,1.06,-1.22,1.1,52.28
3.0,14.0,14.0,65.81,115.03,38.2,7.19,1.02,-1.36,1.11,28.65
3.0,14.0,15.0,72.01,117.69,37.98,7.62,0.99,-1.5,1.13,4.95
3.0,14.0,16.0,57.96,113.93,39.25,7.74,0.91,-1.58,1.0,2.8
3.0,14.0,17.0,43.9,110.17,40.04,7.87,0.83,-1.65,0.88,3.95
3.0,14.0,18.0,29.84,106.41,41.26,7.99,0.75,-1.73,0.75,3.83
3.0,14.0,19.0,38.58,104.23,41.52,8.3,0.38,-1.68,0.81,2.7
3.0,14.0,20.0,47.31,102.05,41.94,8.62,-0.0,-1.62,0.87,4.0
3.0,14.0,21.0,56.05,99.87,41.1,8.93,-0.38,-1.57,0.93,4.73
3.0,14.0,22.0,62.06,92.85,40.62,8.58,-0.17,-1.48,0.81,4.38
3.0,14.0,23.0,68.07,85.83,40.16,8.22,0.05,-1.38,0.68,3.27
1.0,7.0,1.0,21.14,39.71,13.14,19.82,-5.02,0.6,-1.49,5.45
1.0,7.0,2.0,15.82,45.53,12.38,20.2,-4.26,0.97,-1.29,4.85
1.0,7.0,3.0,10.51,51.34,13.31,20.57,-3.5,1.35,-1.09,4.75
1.0,7.0,4.0,7.01,61.49,14.54,20.76,-2.85,1.22,-1.38,5.4
1.0,7.0,5.0,3.51,71.64,10.8,20.94,-2.21,1.09,-1.68,6.8
1.0,7.0,6.0,0.01,81.8,11.46,21.13,-1.56,0.96,-1.98,7.8
1.0,7.0,7.0,0.2,88.64,9.44,21.17,-1.27,0.55,-2.0,8.97
1.0,7.0,8.0,0.39,95.49,10.5,21.21,-0.99,0.14,-2.03,10.88
1.0,7.0,9.0,0.58,102.33,11.64,21.25,-0.7,-0.27,-2.06,11.88
1.0,7.0,10.0,0.86,119.8,9.9,21.36,-0.45,-0.1,-2.13,11.32
1.0,7.0,11.0,1.14,137.27,10.22,21.48,-0.2,0.06,-2.2,9.55
1.0,7.0,12.0,1.42,154.75,9.82,21.59,0.06,0.23,-2.28,7.38
1.0,7.0,13.0,6.23,136.12,7.57,21.2,-0.33,0.29,-1.69,5.33
1.0,7.0,14.0,11.05,117.5,9.75,20.82,-0.72,0.35,-1.1,4.88
1.0,7.0,15.0,15.86,98.88,8.23,20.43,-1.1,0.42,-0.51,5.05
1.0,7.0,16.0,11.17,90.39,7.9,20.54,-1.45,0.28,-0.57,4.83
1.0,7.0,17.0,6.47,81.9,8.95,20.64,-1.8,0.14,-0.63,5.47
1.0,7.0,18.0,1.78,73.41,10.69,20.75,-2.14,-0.0,-0.69,5.35
1.0,7.0,19.0,9.88,61.22,12.3,20.44,-3.21,0.45,-0.97,4.78
1.0,7.0,20.0,17.99,49.03,12.65,20.13,-4.27,0.9,-1.25,4.7
1.0,7.0,21.0,26.09,36.84,10.11,19.83,-5.33,1.35,-1.53,5.28
1.0,7.0,22.0,17.4,47.03,8.88,19.23,-3.79,1.68,-1.5,4.72
1.0,7.0,23.0,8.71,57.23,7.81,18.63,-2.25,2.01,-1.46,4.55
3.0,31.0,0.0,206.26,20.77,33.26,8.3,-2.18,1.54,-2.64,10.27
3.0,31.0,1.0,182.22,22.22,36.02,8.39,-1.92,1.35,-2.01,5.57
3.0,31.0,2.0,158.18,23.68,37.45,8.49,-1.67,1.15,-1.37,7.65
3.0,31.0,3.0,134.15,25.13,37.91,8.58,-1.41,0.95,-0.74,10.82
3.0,31.0,4.0,139.96,21.81,37.22,8.45,-1.22,0.75,-0.41,16.0
3.0,31.0,5.0,145.78,18.48,36.95,8.32,-1.02,0.55,-0.09,16.4
3.0,31.0,6.0,151.59,15.16,35.93,8.2,-0.83,0.36,0.24,19.75
3.0,31.0,7.0,144.86,15.35,36.84,8.53,0.07,0.09,-0.1,21.18
3.0,31.0,8.0,138.12,15.55,38.37,8.86,0.97,-0.17,-0.43,18.7
3.0,31.0,9.0,131.39,15.74,39.94,9.2,1.87,-0.43,-0.77,18.2
3.0,31.0,10.0,128.09,16.96,41.07,9.71,1.94,-0.8,-1.22,18.57
3.0,31.0,11.0,124.79,18.17,40.39,10.22,2.0,-1.18,-1.67,22.87
3.0,31.0,12.0,121.5,19.38,40.06,10.73,2.06,-1.55,-2.12,30.6
3.0,31.0,13.0,136.5,16.86,38.39,10.62,1.13,-0.53,-1.84,56.22
3.0,31.0,14.0,151.51,14.34,38.05,10.51,0.2,0.49,-1.55,53.5
3.0,31.0,15.0,166.51,11.82,37.71,10.41,-0.74,1.51,-1.27,51.28
3.0,31.0,16.0,166.14,12.01,38.45,9.88,-1.32,1.31,-1.28,53.92
3.0,31.0,17.0,165.77,12.2,39.67,9.35,-1.91,1.1,-1.3,58.52
3.0,31.0,18.0,165.4,12.39,39.06,8.82,-2.49,0.9,-1.31,57.65
3.0,31.0,19.0,164.15,13.39,35.7,8.62,-2.63,0.63,-0.97,59.6
3.0,31.0,20.0,162.9,14.4,36.04,8.42,-2.77,0.36,-0.62,50.2
3.0,31.0,21.0,161.65,15.4,35.03,8.22,-2.9,0.09,-0.28,69.85
3.0,31.0,22.0,148.83,14.41,33.93,8.92,-3.32,0.47,-0.16,62.43
3.0,31.0,23.0,136.02,13.42,32.01,9.62,-3.74,0.86,-0.03,62.8
12.0,8.0,0.0,33.41,124.12,10.17,6.37,1.21,-1.8,1.51,4.17
12.0,8.0,1.0,22.69,130.79,9.52,6.53,1.48,-1.25,1.2,3.65
12.0,8.0,2.0,11.97,137.46,10.09,6.68,1.76,-0.7,0.9,3.8
12.0,8.0,3.0,1.25,144.14,9.27,6.83,2.04,-0.15,0.59,4.95
12.0,8.0,4.0,14.54,128.64,10.96,7.02,2.06,-0.38,0.66,9.78
12.0,8.0,5.0,27.83,113.15,11.15,7.21,2.08,-0.61,0.73,14.5
12.0,8.0,6.0,41.12,97.66,13.33,7.4,2.11,-0.83,0.8,18.82
12.0,8.0,7.0,31.3,97.72,13.59,6.9,2.07,-1.01,0.83,25.52
12.0,8.0,8.0,21.49,97.78,13.17,6.39,2.04,-1.19,0.87,27.83
12.0,8.0,9.0,11.68,97.85,16.78,5.88,2.0,-1.37,0.9,28.63
12.0,8.0,10.0,14.76,93.55,15.63,5.86,2.02,-1.18,1.07,28.5
12.0,8.0,11.0,17.84,89.24,12.24,5.85,2.03,-0.99,1.23,27.8
12.0,8.0,12.0,20.93,84.94,9.93,5.83,2.04,-0.8,1.39,16.48
12.0,8.0,13.0,26.22,78.4,12.21,5.58,1.48,-1.12,1.08,2.77
12.0,8.0,14.0,31.52,71.86,12.17,5.33,0.92,-1.44,0.77,2.58
12.0,8.0,15.0,36.82,65.32,10.18,5.09,0.35,-1.76,0.46,2.42
12.0,8.0,16.0,35.95,64.9,9.65,4.86,-0.67,-0.85,0.4,2.38
12.0,8.0,17.0,35.09,64.48,8.93,4.63,-1.7,0.06,0.34,2.2
12.0,8.0,18.0,34.22,64.06,8.05,4.41,-2.72,0.97,0.28,2.08
12.0,8.0,19.0,31.53,64.4,7.34,4.61,-2.54,0.8,0.25,2.25
12.0,8.0,20.0,28.84,64.74,10.16,4.8,-2.36,0.64,0.23,2.4
12.0,8.0,21.0,26.16,65.08,12.82,5.0,-2.17,0.48,0.2,2.4
12.0,8.0,22.0,26.57,70.44,12.81,5.14,-3.01,0.94,0.42,2.62
12.0,8.0,23.0,26.99,75.79,12.24,5.28,-3.86,1.39,0.63,3.08
3.0,5.0,0.0,20.05,54.94,25.36,8.11,0.37,-1.9,0.82,7.67
3.0,5.0,1.0,14.61,64.66,25.09,7.93,0.57,-1.81,0.8,5.7
3.0,5.0,2.0,9.16,74.39,25.48,7.75,0.77,-1.72,0.77,5.58
3.0,5.0,3.0,3.72,84.11,25.6,7.58,0.97,-1.63,0.75,6.52
3.0,5.0,4.0,10.71,72.5,25.45,7.75,1.38,-1.59,0.56,8.55
3.0,5.0,5.0,17.69,60.89,24.49,7.92,1.8,-1.55,0.36,11.12
3.0,5.0,6.0,24.68,49.29,22.48,8.08,2.21,-1.51,0.16,12.62
3.0,5.0,7.0,16.64,61.72,22.01,8.52,1.6,-1.63,-0.45,13.55
3.0,5.0,8.0,8.61,74.16,21.72,8.96,0.98,-1.75,-1.06,14.57
3.0,5.0,9.0,0.57,86.59,21.2,9.4,0.37,-1.87,-1.68,15.2
3.0,5.0,10.0,1.23,86.14,22.06,9.05,-0.36,-1.31,-1.41,14.4
3.0,5.0,11.0,1.88,85.68,21.35,8.7,-1.1,-0.76,-1.13,14.6
3.0,5.0,12.0,2.54,85.22,22.0,8.34,-1.83,-0.21,-0.86,14.28
3.0,5.0,13.0,9.06,76.73,20.18,8.58,-1.24,-0.79,-0.81,12.2
3.0,5.0,14.0,15.58,68.23,19.78,8.82,-0.64,-1.37,-0.76,10.4
3.0,5.0,15.0,22.09,59.73,19.86,9.06,-0.05,-1.96,-0.71,8.7
3.0,5.0,16.0,19.76,59.15,23.28,9.17,0.45,-1.7,-0.67,8.9
3.0,5.0,17.0,17.43,58.57,22.2,9.29,0.94,-1.45,-0.62,9.38
3.0,5.0,18.0,15.1,57.99,19.59,9.4,1.43,-1.2,-0.57,8.5
3.0,5.0,19.0,16.93,53.36,20.07,8.75,1.72,-1.04,-0.42,8.15
3.0,5.0,20.0,18.75,48.74,19.0,8.1,2.01,-0.89,-0.27,8.0
3.0,5.0,21.0,20.58,44.11,19.32,7.44,2.3,-0.73,-0.11,9.2
3.0,5.0,22.0,13.73,60.64,18.73,7.34,2.16,-0.97,-0.08,9.0
3.0,5.0,23.0,6.89,77.18,20.6,7.23,2.01,-1.21,-0.04,8.68
3.0,24.0,0.0,45.86,60.56,10.7,6.09,2.57,0.65,1.94,5.72
3.0,24.0,1.0,50.28,58.43,12.67,6.22,2.17,-0.11,2.09,4.47
3.0,24.0,2.0,54.7,56.29,12.81,6.34,1.76,-0.86,2.24,24.32
3.0,24.0,3.0,59.13,54.16,11.75,6.47,1.36,-1.62,2.39,34.0
3.0,24.0,4.0,57.42,66.05,10.87,6.67,1.55,-1.67,2.29,8.88
3.0,24.0,5.0,55.72,77.95,10.92,6.88,1.74,-1.72,2.19,4.85
3.0,24.0,6.0,54.02,89.84,11.5,7.08,1.93,-1.77,2.09,4.53
3.0,24.0,7.0,69.35,69.72,14.54,7.05,1.86,-2.4,2.08,4.08
3.0,24.0,8.0,84.67,49.59,12.55,7.01,1.79,-3.03,2.08,4.58
3.0,24.0,9.0,100.0,29.47,12.27,6.97,1.73,-3.66,2.08,17.57
3.0,24.0,10.0,88.23,41.74,14.85,7.08,1.96,-2.44,1.98,20.03
3.0,24.0,11.0,76.46,54.02,11.99,7.18,2.19,-1.21,1.88,15.17
3.0,24.0,12.0,64.69,66.29,11.32,7.29,2.43,0.01,1.79,12.57
3.0,24.0,13.0,61.51,73.92,10.26,7.7,2.6,-0.74,1.76,13.9
3.0,24.0,14.0,58.32,81.55,10.09,8.12,2.78,-1.49,1.74,7.58
3.0,24.0,15.0,55.14,89.18,9.61,8.53,2.96,-2.24,1.72,3.12
3.0,24.0,16.0,65.04,66.39,7.92,8.6,2.91,-1.61,1.87,8.85
3.0,24.0,17.0,74.94,43.6,7.13,8.66,2.86,-0.99,2.02,7.28
3.0,24.0,18.0,84.84,20.81,7.74,8.72,2.81,-0.36,2.17,3.52
3.0,24.0,19.0,65.89,40.01,8.75,9.84,2.74,-0.27,1.58,3.3
3.0,24.0,20.0,46.94,59.22,12.8,10.95,2.68,-0.19,1.0,4.4
3.0,24.0,21.0,27.99,78.42,9.87,12.07,2.61,-0.1,0.41,5.03
3.0,24.0,22.0,47.75,59.51,9.19,10.96,2.06,-0.85,0.77,6.15
3.0,24.0,23.0,67.5,40.6,9.37,9.86,1.51,-1.6,1.12,7.02
1.0,23.0,0.0,37.52,62.5,12.16,5.4,0.94,-1.42,-0.08,2.78
1.0,23.0,1.0,33.33,70.48,13.46,5.76,1.24,-1.5,0.42,2.07
1.0,23.0,2.0,29.14,78.47,11.67,6.13,1.53,-1.57,0.91,1.73
1.0,23.0,3.0,24.95,86.46,8.65,6.49,1.83,-1.65,1.4,2.35
1.0,23.0,4.0,23.87,89.77,8.4,6.57,1.82,-1.68,1.43,2.47
1.0,23.0,5.0,22.79,93.09,7.68,6.65,1.81,-1.72,1.46,7.1
1.0,23.0,6.0,21.72,96.4,10.85,6.73,1.8,-1.75,1.49,15.17
1.0,23.0,7.0,30.72,99.77,14.85,7.13,1.77,-1.93,1.26,29.25
1.0,23.0,8.0,39.73,103.15,11.44,7.53,1.73,-2.1,1.03,26.57
1.0,23.0,9.0,48.74,106.52,11.19,7.93,1.7,-2.28,0.8,27.38
1.0,23.0,10.0,39.44,110.37,13.09,7.79,1.34,-2.28,0.77,27.5
1.0,23.0,11.0,30.15,114.21,10.25,7.66,0.99,-2.28,0.73,25.2
1.0,23.0,12.0,20.85,118.06,9.75,7.52,0.63,-2.28,0.69,8.3
1.0,23.0,13.0,22.38,112.18,9.65,7.32,0.9,-2.1,0.78,4.7
1.0,23.0,14.0,23.91,106.3,9.51,7.11,1.18,-1.92,0.87,3.15
1.0,23.0,15.0,25.44,100.43,11.48,6.91,1.45,-1.75,0.95,3.92
1.0,23.0,16.0,23.59,103.32,11.16,6.79,1.67,-1.44,1.08,4.55
1.0,23.0,17.0,21.74,106.22,10.82,6.67,1.89,-1.13,1.21,4.42
1.0,23.0,18.0,19.89,109.11,10.45,6.55,2.11,-0.82,1.34,3.0
1.0,23.0,19.0,13.57,121.26,10.67,6.25,1.83,-1.15,1.09,2.8
1.0,23.0,20.0,7.26,133.42,10.17,5.95,1.55,-1.47,0.85,2.8
1.0,23.0,21.0,0.95,145.57,13.27,5.66,1.27,-1.79,0.6,2.83
1.0,23.0,22.0,4.5,142.62,13.5,5.71,1.58,-1.58,0.67,2.83
1.0,23.0,23.0,8.06,139.67,10.74,5.76,1.89,-1.37,0.74,6.35
5.0,24.0,0.0,124.33,81.88,15.8,20.49,1.9,-0.99,-2.96,10.57
5.0,24.0,1.0,107.96,71.01,15.92,20.42,2.13,-0.99,-3.36,7.5
5.0,24.0,2.0,91.59,60.14,14.55,20.34,2.36,-1.0,-3.77,8.47
5.0,24.0,3.0,75.22,49.27,13.0,20.27,2.58,-1.0,-4.17,10.45
5.0,24.0,8.0,187.15,40.74,14.0,20.98,1.73,-1.11,-4.23,35.98
5.0,24.0,9.0,211.24,43.89,12.73,21.2,1.24,-1.34,-3.13,39.83
5.0,24.0,10.0,189.07,42.23,12.91,21.11,1.65,-0.91,-3.51,43.67
5.0,24.0,11.0,166.91,40.57,16.15,21.03,2.05,-0.47,-3.9,47.4
5.0,24.0,12.0,144.75,38.91,13.45,20.94,2.45,-0.04,-4.28,48.45
5.0,24.0,13.0,145.41,40.22,12.92,20.44,2.11,0.24,-3.52,41.83
5.0,24.0,14.0,146.07,41.53,11.49,19.95,1.77,0.51,-2.75,28.85
5.0,24.0,15.0,146.73,42.84,10.78,19.45,1.43,0.79,-1.99,12.12
5.0,24.0,16.0,127.92,45.18,14.67,19.55,1.38,0.64,-2.21,11.22
5.0,24.0,17.0,109.12,47.52,12.17,19.64,1.32,0.5,-2.43,5.85
5.0,24.0,18.0,90.31,49.86,9.77,19.73,1.27,0.35,-2.65,6.2
5.0,24.0,19.0,84.71,48.33,13.89,19.96,1.3,-0.05,-2.02,22.0
5.0,24.0,20.0,79.11,46.79,15.18,20.19,1.34,-0.46,-1.38,11.5
5.0,24.0,21.0,73.51,45.25,15.59,20.42,1.37,-0.86,-0.74,7.17
5.0,24.0,22.0,72.84,40.46,15.45,19.78,1.29,-1.01,-1.2,4.32
5.0,24.0,23.0,72.17,35.68,11.72,19.13,1.2,-1.15,-1.66,2.97
4.0,8.0,0.0,38.54,83.25,7.29,20.27,1.97,-0.12,1.67,29.35
4.0,8.0,1.0,40.63,74.88,7.32,20.37,0.2,0.31,1.31,30.12
4.0,8.0,2.0,42.71,66.5,8.12,20.47,-1.56,0.74,0.96,27.92
4.0,8.0,3.0,44.79,58.12,8.33,20.57,-3.33,1.16,0.6,31.12
4.0,8.0,4.0,41.96,76.28,11.64,20.87,-3.17,1.63,1.04,35.92
4.0,8.0,5.0,39.13,94.44,12.52,21.16,-3.0,2.1,1.48,38.72
4.0,8.0,6.0,36.3,112.59,10.58,21.46,-2.84,2.56,1.92,40.92
4.0,8.0,7.0,43.59,110.15,7.24,20.75,-2.1,1.85,1.64,43.92
4.0,8.0,8.0,50.88,107.71,6.02,20.05,-1.35,1.14,1.35,45.07
4.0,8.0,9.0,58.17,105.26,5.96,19.35,-0.61,0.42,1.07,45.4
4.0,8.0,10.0,47.69,114.52,6.07,19.71,0.15,-0.01,0.82,46.57
4.0,8.0,11.0,37.21,123.79,9.27,20.08,0.91,-0.44,0.57,48.23
4.0,8.0,12.0,26.74,133.05,10.79,20.45,1.66,-0.87,0.32,48.75
4.0,8.0,13.0,45.53,99.14,8.88,20.55,1.58,-0.48,0.58,47.67
4.0,8.0,14.0,64.32,65.22,10.28,20.65,1.5,-0.1,0.84,40.1
4.0,8.0,15.0,83.11,31.31,10.86,20.75,1.42,0.29,1.09,33.05
4.0,8.0,16.0,75.25,33.05,14.52,20.94,1.39,-0.0,1.09,36.12
4.0,8.0,17.0,67.39,34.78,14.53,21.12,1.37,-0.3,1.09,36.12
4.0,8.0,18.0,59.53,36.52,13.65,21.31,1.34,-0.59,1.09,36.0
4.0,8.0,19.0,56.96,37.69,9.17,20.92,1.22,-0.63,1.39,28.53
4.0,8.0,20.0,54.39,38.86,8.43,20.54,1.11,-0.67,1.69,28.8
4.0,8.0,21.0,51.82,40.03,11.51,20.16,0.99,-0.7,1.99,24.47
